Rank,Team,Season,League,qualify
19,West Bromwich Albion,2020-2021,Premier League,FALSE
20,Sheffield United,2020-2021,Premier League,FALSE
1,Inter,2020-2021,Serie A,TRUE
2,AC Milan,2020-2021,Serie A,TRUE
3,Atalanta,2020-2021,Serie A,TRUE
4,Juventus,2020-2021,Serie A,TRUE
5,SSC Napoli,2020-2021,Serie A,FALSE
6,Lazio Roma,2020-2021,Serie A,FALSE
7,AS Roma,2020-2021,Serie A,FALSE
8,Sassuolo Calcio,2020-2021,Serie A,FALSE
9,Sampdoria,2020-2021,Serie A,FALSE
10,Hellas Verona,2020-2021,Serie A,FALSE
11,Genoa CFC,2020-2021,Serie A,FALSE
12,Bologna FC,2020-2021,Serie A,FALSE
13,ACF Fiorentina,2020-2021,Serie A,FALSE
14,Udinese Calcio,2020-2021,Serie A,FALSE
15,Spezia Calcio,2020-2021,Serie A,FALSE
16,Cagliari Calcio,2020-2021,Serie A,FALSE
17,Torino FC,2020-2021,Serie A,FALSE
18,Benevento Calcio,2020-2021,Serie A,FALSE
19,FC Crotone,2020-2021,Serie A,FALSE
20,Parma Calcio 1913,2020-2021,Serie A,FALSE
